# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3482.68 3.4891e-15   3491.40 0 
  3490.71 3.6084e-15   3499.45 0 
  3498.75 3.5968e-15   3507.52 0 
  3506.82 3.5198e-15   3515.60 0 
  3514.90 3.4684e-15   3523.71 0 
  3523.01 3.5134e-15   3531.83 0 
  3531.13 3.4941e-15   3539.97 0 
  3539.27 3.5151e-15   3548.13 0 
  3547.43 3.5444e-15   3556.31 0 
  3555.60 3.5249e-15   3564.51 0 
  3563.80 3.4974e-15   3572.73 0 
  3572.02 3.4702e-15   3580.96 0 
  3580.25 3.3340e-15   3589.22 0 
  3588.50 3.2928e-15   3597.49 0 
  3596.78 3.3127e-15   3605.79 0 
  3605.07 3.3557e-15   3614.10 0 
  3613.38 3.3450e-15   3622.43 0 
  3621.71 3.3574e-15   3630.78 0 
  3630.06 3.4168e-15   3639.15 0 
  3638.43 3.3514e-15   3647.54 0 
  3646.81 3.3177e-15   3655.95 0 
  3655.22 3.2995e-15   3664.37 0 
  3663.65 3.2890e-15   3672.82 0 
  3672.09 3.2559e-15   3681.29 0 
  3680.56 3.2232e-15   3689.78 0 
  3683.44 2.9368e-15   3692.67 1 
  3686.19 3.2609e-15   3695.42 1 
  3688.93 2.4630e-15   3698.17 1 
  3691.67 2.4738e-15   3700.92 1 
  3694.42 2.8341e-15   3703.67 1 
  3697.16 2.5569e-15   3706.42 1 
  3699.90 3.2194e-15   3709.17 1 
  3702.64 2.7891e-15   3711.92 1 
  3705.39 3.0988e-15   3714.67 1 
  3708.13 2.9442e-15   3717.42 1 
  3710.87 2.9810e-15   3720.17 1 
  3713.62 2.6588e-15   3722.92 1 
  3716.36 3.3443e-15   3725.67 1 
  3719.10 5.0543e-15   3728.42 1 
  3721.85 7.9917e-15   3731.17 1 
  3724.59 1.0345e-14   3733.92 1 
  3727.33 9.1476e-15   3736.67 1 
  3730.08 7.1188e-15   3739.42 1 
  3732.82 4.3556e-15   3742.17 1 
  3735.56 3.3651e-15   3744.92 1 
  3738.31 3.4312e-15   3747.67 1 
  3741.05 2.8673e-15   3750.42 1 
  3743.79 2.7912e-15   3753.17 1 
  3746.53 2.9519e-15   3755.92 1 
  3749.28 3.6027e-15   3758.67 1 
  3752.02 3.3131e-15   3761.42 1 
  3754.76 2.4727e-15   3764.17 1 
  3757.51 2.4250e-15   3766.92 1 
  3760.25 2.6874e-15   3769.67 1 
  3762.99 2.6877e-15   3772.42 1 
  3765.74 2.6001e-15   3775.17 1 
  3768.48 3.1097e-15   3777.92 1 
  3771.22 3.0592e-15   3780.67 1 
  3773.97 3.0147e-15   3783.42 1 
  3776.71 2.7814e-15   3786.17 1 
  3779.45 2.6450e-15   3788.92 1 
  3782.20 2.6843e-15   3791.67 1 
  3784.94 3.0934e-15   3794.42 1 
  3787.68 2.6077e-15   3797.17 1 
  3790.42 2.6104e-15   3799.92 1 
  3793.17 3.5867e-15   3802.67 1 
  3795.91 3.7611e-15   3805.42 1 
  3798.65 3.2123e-15   3808.17 1 
  3801.40 2.5656e-15   3810.92 1 
  3804.14 2.6875e-15   3813.67 1 
  3806.88 2.5552e-15   3816.42 1 
  3809.63 2.5222e-15   3819.17 1 
  3812.37 2.8116e-15   3821.92 1 
  3815.11 2.8599e-15   3824.67 1 
  3817.86 2.8529e-15   3827.42 1 
  3820.60 2.8046e-15   3830.17 1 
  3823.34 2.2224e-15   3832.92 1 
  3826.09 3.2214e-15   3835.67 1 
  3828.83 3.8569e-15   3838.42 1 
  3831.57 3.7423e-15   3841.17 1 
  3834.31 3.7463e-15   3843.92 1 
  3837.06 3.2741e-15   3846.67 1 
  3839.80 2.4989e-15   3849.42 1 
  3842.54 2.4104e-15   3852.17 1 
  3845.29 3.2173e-15   3854.92 1 
  3848.03 2.8117e-15   3857.67 1 
  3850.77 2.6996e-15   3860.42 1 
  3853.52 3.1096e-15   3863.17 1 
  3856.26 3.1943e-15   3865.92 1 
  3859.00 3.1397e-15   3868.67 1 
  3861.75 4.2590e-15   3871.42 1 
  3864.49 5.3232e-15   3874.17 1 
  3867.23 5.3226e-15   3876.92 1 
  3869.98 4.3974e-15   3879.67 1 
  3872.72 3.4360e-15   3882.42 1 
  3875.46 2.9902e-15   3885.17 1 
  3878.21 3.0894e-15   3887.92 1 
  3880.95 4.0700e-15   3890.67 1 
  3883.69 5.2832e-15   3893.42 1 
  3886.43 6.4093e-15   3896.17 1 
  3889.18 5.3727e-15   3898.92 1 
  3891.92 3.4714e-15   3901.67 1 
  3894.66 2.6191e-15   3904.42 1 
  3897.41 2.6338e-15   3907.17 1 
  3900.15 2.4565e-15   3909.92 1 
  3902.89 2.7986e-15   3912.67 1 
