# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3955.56 6.6439e-15   4077.51 1 
  3958.22 4.6357e-15   4080.26 1 
  3960.89 6.6035e-15   4083.01 1 
  3963.56 6.4406e-15   4085.76 1 
  3966.23 4.4243e-15   4088.51 1 
  3968.90 4.9452e-15   4091.26 1 
  3971.56 2.4346e-15   4094.01 1 
  3974.23 3.6545e-15   4096.76 1 
  3976.90 3.7568e-15   4099.51 1 
  3979.57 3.1811e-15   4102.26 1 
  3982.23 6.1939e-15   4105.01 1 
  3984.90 5.8807e-15   4107.76 1 
  3987.57 4.5723e-15   4110.51 1 
  3990.24 5.0885e-15   4113.26 1 
  3992.90 6.6191e-15   4116.01 1 
  3995.57 6.1831e-15   4118.76 1 
  3998.24 9.7204e-15   4121.51 1 
  4000.91 5.8367e-15   4124.26 1 
  4003.58 5.6006e-15   4127.01 1 
  4006.24 5.6177e-15   4129.76 1 
  4008.91 6.2855e-15   4132.51 1 
  4011.58 5.6202e-15   4135.26 1 
  4014.25 7.8866e-15   4138.01 1 
  4016.91 7.3011e-15   4140.76 1 
  4019.58 6.1104e-15   4143.51 1 
  4022.25 7.4208e-15   4146.26 1 
  4024.92 7.7879e-15   4149.01 1 
  4027.59 6.1795e-15   4151.76 1 
  4030.25 5.3436e-15   4154.51 1 
  4032.92 5.8779e-15   4157.26 1 
  4035.59 7.4167e-15   4160.01 1 
  4038.26 6.3510e-15   4162.76 1 
  4040.92 6.1506e-15   4165.51 1 
  4043.59 7.0915e-15   4168.26 1 
  4046.26 6.6075e-15   4171.01 1 
  4048.93 6.2732e-15   4173.76 1 
  4051.60 5.9272e-15   4176.51 1 
  4054.26 3.9529e-15   4179.26 1 
  4056.93 4.4507e-15   4182.01 1 
  4059.60 6.6280e-15   4184.76 1 
  4062.27 6.9221e-15   4187.51 1 
  4064.93 7.0708e-15   4190.26 1 
  4067.60 8.6907e-15   4193.01 1 
  4070.27 5.7980e-15   4195.76 1 
  4072.94 5.1789e-15   4198.51 1 
  4075.60 4.6058e-15   4201.26 1 
  4078.27 6.3915e-15   4204.01 1 
  4080.94 7.2583e-15   4206.76 1 
  4083.61 5.9235e-15   4209.51 1 
  4086.28 5.7999e-15   4212.26 1 
  4088.94 7.0582e-15   4215.01 1 
  4091.61 5.8782e-15   4217.76 1 
  4094.28 5.8437e-15   4220.51 1 
  4096.95 6.3273e-15   4223.26 1 
  4099.61 6.2013e-15   4226.01 1 
  4102.28 5.4502e-15   4228.76 1 
  4104.95 4.9671e-15   4231.51 1 
  4107.62 4.1973e-15   4234.26 1 
  4110.29 3.8664e-15   4237.01 1 
  4112.95 5.0112e-15   4239.76 1 
  4115.62 5.2267e-15   4242.51 1 
  4118.29 6.2131e-15   4245.26 1 
  4120.96 7.3093e-15   4248.01 1 
  4123.62 7.0145e-15   4250.76 1 
  4126.29 5.4796e-15   4253.51 1 
  4128.96 5.5800e-15   4256.26 1 
  4131.63 5.7359e-15   4259.01 1 
  4134.30 7.1547e-15   4261.76 1 
  4136.96 7.0079e-15   4264.51 1 
  4139.63 6.3535e-15   4267.26 1 
  4142.30 4.6742e-15   4270.01 1 
  4144.97 6.2409e-15   4272.76 1 
  4147.63 5.8044e-15   4275.51 1 
  4150.30 6.6227e-15   4278.26 1 
  4152.97 7.3594e-15   4281.01 1 
  4155.64 6.6868e-15   4283.76 1 
  4158.31 5.8686e-15   4286.51 1 
  4160.97 5.3451e-15   4289.26 1 
  4163.64 5.9450e-15   4292.01 1 
