# cat cat_m83_master_may_21_2014.txt | awk '{print $1, $2, $3, $4, $12, $26, $29}' > cat_m83_master_may_21_2014.reduced.txt
 x   y     ra           dec       mv   mass  age 
2106 1600 204.2785516 -29.8935148 -6.242 8.66 16114.6
2116 2734 204.2784304 -29.8809055 -5.658 8.81 16643.2
2122 2050 204.2783481 -29.8885129 -7.108 8.21 64676.8
2155 3749 204.2779241 -29.8696322 -4.602 8.96 21890.3
2179 4369 204.2776253 -29.8627472 -5.094 8.41 3002.6
2182 1352 204.277583 -29.8962713 -6.246 7.96 5033.2
2231 4043 204.2769544 -29.8663612 -5.098 8.61 4082.7
2246 4291 204.2767662 -29.8636099 -7.2 6.64 2083.
2279 3321 204.2763376 -29.8743876 -5.205 8.56 4151.8
2285 1410 204.2762603 -29.8956165 -5.71 8.66 10469.8
2299 1699 204.2760824 -29.8924147 -4.772 8.66 5263.8
2306 779 204.2759886 -29.9026336 -4.693 8.26 7005.5
2314 2998 204.2758971 -29.8779742 -7.56 9.34 626915.8
2321 3564 204.2757973 -29.8716912 -5.828 8.41 25650.8
2350 2936 204.2754296 -29.8786612 -6.617 8.61 26467.1
2369 674 204.2751902 -29.903798 -5.033 8.66 18177.7
2370 1873 204.2751686 -29.8904719 -4.937 8.51 13055.8
2372 2790 204.2751514 -29.8802929 -5.842 8.51 8747.5
2392 4424 204.2748974 -29.8621327 -4.496 8.91 13383.3
2393 901 204.2748842 -29.9012739 -4.302 8.31 1917.2
2398 1450 204.2748125 -29.8951823 -5.234 8.76 13687.8
2400 1737 204.2747827 -29.8919836 -6.017 8.21 9247.6
2403 4146 204.2747487 -29.8652269 -7.324 7.58 9098.2
2410 3838 204.2746651 -29.8686444 -5.753 8.11 16483.2
2410 4466 204.2746628 -29.8616663 -5.784 8.36 7120.1
2412 4161 204.2746357 -29.8650524 -6.954 7.7 7366.1
2427 4084 204.2744471 -29.8659121 -5.119 8.71 10607.6
2434 3489 204.2743536 -29.8725199 -8.21 6.48 5881.5
2437 3530 204.274319 -29.8720694 -7.254 6.64 2611.2
2461 875 204.2740034 -29.9015646 -4.466 8.26 6027.8
2468 2957 204.2739206 -29.8784305 -7.613 8.91 131269.2
2476 3504 204.2738144 -29.8723546 -11.239 6.64 53718.1
2479 4062 204.273778 -29.8661505 -8.582 7.58 28983.9
2484 3705 204.2737137 -29.8701245 -6.114 6.64 681.1
2499 1456 204.2735237 -29.8951125 -5.851 8.86 56498.4
2505 4492 204.2734493 -29.8613734 -5.263 8.61 6012.1
2513 1160 204.273338 -29.8983943 -6.417 7.81 12164.4
2540 4277 204.2729985 -29.8637613 -9.913 9.06 914064.8
2562 3004 204.2727104 -29.8779126 -6.094 8.36 10046.3
2567 3481 204.2726552 -29.8726159 -6.63 8.06 8036.4
2575 3724 204.2725434 -29.8699146 -6.9 6.7 1277.6
2589 1282 204.2723607 -29.8970386 -7.132 7.96 17174.5
2593 4447 204.2723206 -29.8618738 -7.132 7.22 8961.1
2593 3414 204.2723201 -29.8733507 -5.995 8.51 8443.5
2599 3692 204.2722422 -29.8702678 -7.625 8.41 30895.9
2661 2033 204.2714481 -29.8886939 -4.747 8.56 6972.
2662 4004 204.2714339 -29.8667985 -7.655 7.51 24164.2
2677 3993 204.2712356 -29.8669161 -6.755 7.36 6327.6
2678 4443 204.2712253 -29.8619253 -6.824 6.62 1058.6
2678 3071 204.2712207 -29.877162 -5.908 7.59 8087.6
2683 608 204.2711599 -29.9045369 -5.598 7.76 6844.
2695 1174 204.2710024 -29.8982438 -6.052 7.51 8329.4
2699 2893 204.2709595 -29.8791466 -5.44 8.31 6522.6
2700 1399 204.270949 -29.8957454 -5.233 8.16 5678.4
2708 772 204.2708354 -29.9027124 -7.001 6.62 985.1
2739 3076 204.2704413 -29.877105 -5.766 8.06 3626.3
2745 1067 204.2703609 -29.8994355 -5.829 7.32 5192.8
2791 3418 204.2697799 -29.8733082 -8.198 6.64 3670.8
2798 2572 204.2696937 -29.8827147 -6.157 8.71 46827.3
2816 3415 204.2694576 -29.8733398 -7.906 6.64 2351.8
2820 3536 204.269406 -29.8720042 -7.406 6.64 2238.9
2838 3370 204.2691746 -29.8738453 -7.497 6.64 1521.5
2847 807 204.2690661 -29.9023269 -5.691 6.64 489.3
2857 3409 204.2689373 -29.8734074 -8.687 7.86 51523.6
2859 952 204.2689112 -29.9007108 -6.153 7.14 5859.
2862 1742 204.2688696 -29.8919296 -6.366 9.48 234917.3
2864 3389 204.2688468 -29.8736324 -9.797 7.24 59632.5
2875 3991 204.2686997 -29.8669439 -8.452 7.4 35556.9
2882 3452 204.2686162 -29.8729312 -7.999 6.64 2415.9
2895 3893 204.2684511 -29.8680358 -7.04 8.11 53931.3
2901 732 204.2683697 -29.9031547 -4.926 8.71 5549.6
2906 2389 204.2683085 -29.8847439 -5.487 8.06 9633.5
2906 3475 204.2682994 -29.8726767 -7.242 6.66 2257.2
2917 3988 204.2681615 -29.8669818 -5.66 7.76 9720.9
2940 3273 204.2678649 -29.8749205 -6.537 7.81 19329.
2941 3611 204.2678566 -29.8711619 -7.761 7.65 63953.3
2944 2464 204.2678218 -29.8839049 -8.029 8.46 103245.4
2959 575 204.2676241 -29.9049031 -6.681 8.06 8422.9
2978 3674 204.2673803 -29.8704671 -6.414 6.12 3239.8
2986 3807 204.2672866 -29.8689936 -9.372 6.64 9074.
2991 4343 204.2672158 -29.8630338 -5.89 7.96 6526.
